Index,Account Id,Lead Owner,First Name,Last Name,Company,Phone 1,Phone 2,Email 1,Email 2,Website,Source,Deal Stage,Notes
1,2FCBFE58CC70308,Selena Doyle,Jaime,Hayes,Mays Inc,9802005297,917-584-0243x4606,fstephens@shepherd.info,rusheddie@massey.info,https://black.com/,LinkedIn Outreach,On Hold,Heart represent while into.
2,f16E4f6a6c741db,Kelsey Mosley,Cody,Salinas,Blankenship Inc,369.329.6963,834.998.8869x2671,ariel63@hunt.com,rittergilbert@stokes-mccormick.com,https://austin.org/,Cold Call,On Hold,Partner school law vote responsibility team air.
3,B7FfE9C1dc2E360,Anne Franklin,Leonard,Rogers,Wells-Burch,409.411.1126x05090,548.320.4326x6724,marciaburns@miles-brennan.com,acrawford@bradford-norris.info,http://www.sutton.net/,Referral,Re-engagement,Never structure myself art middle carry hope.
4,cafEef0A3D728a7,Darlene Hurst,Manuel,Lowery,"Mooney, Salinas and Ali",001-307-937-7505x54026,754.386.8611x687,norman05@cummings-forbes.com,vwolf@foster-zuniga.org,http://www.washington.com/,Networking Event,Re-engagement,Institution example consider itself scene model a.
5,917224BC3bdcA89,Nina Chavez,Dawn,Anderson,"Compton, Mcmillan and Aguirre",(704)585-7792,479.490.9915x8579,mezasheryl@santana-york.com,craigdominique@steele.org,http://www.yang.net/,Website Form,Closed Won,Miss government analysis use total west serve wish.
6,FDABa782e50c25f,Angie Potts,Eugene,Parsons,"Nixon, Dalton and Morales",(716)933-8844x39682,(903)929-4086x838,aliciastark@le-orr.com,apage@berger.com,https://fischer-greer.com/,Website Form,Closed Won,Do challenge mouth property since suffer.
7,0cC1ab86Ee6BAaF,Vincent Burch,Amber,Weeks,Carson LLC,(248)782-6887,001-920-288-5538,frednixon@deleon-mccullough.org,shawnaodonnell@rosales.com,https://gentry.com/,LinkedIn Outreach,Closed Won,Receive hotel notice student population land.
8,2eBbe6C9061B980,Annette Mclaughlin,Isabella,Hernandez,Watson and Sons,6372325543,001-626-768-1851x296,jareddennis@jefferson-compton.biz,marco01@washington.com,https://delgado-gillespie.com/,Partner Program,Proposal Sent,Future since show white debate like.
9,2FDe12E0F7b2eD0,Andre Soto,Karla,Hubbard,"Hays, Chapman and Zamora",433-841-7123x65190,(405)220-3723,xstrickland@banks.com,amacdonald@cuevas.info,https://booth.net/,Chatbot,On Hold,Difficult tree rise to experience sure huge drug.
10,C33A9A70A8adab3,Suzanne Young,Barbara,Chan,Mcfarland Group,403-920-0054x3452,(471)290-6928x24849,bobrocha@herman.com,spencer18@parker.info,https://moreno.com/,Chatbot,Proposal Sent,Agency hotel production hold view with what.
